Date,Open,High,Low,Close,MA20,MA50,RSI14,TR,ATR14,decision,rule,reason
2025-01-08,2648.545,2669.955,2645.325,2662.1,2639.74725,2651.9824,54.71375152301094,24.63000000000011,33.14439430746135,WAIT,None,No rule matched
2025-01-09,2661.585,2678.08,2655.75,2670.36,2638.568,2649.8959999999997,56.25370203595774,22.329999999999927,32.371937571214104,WAIT,None,No rule matched
2025-01-10,2670.63,2697.89,2664.3,2690.62,2637.1925,2647.9566000000004,59.8592401133026,33.58999999999969,32.45894203041308,WAIT,None,No rule matched
2025-01-13,2690.6,2693.34,2656.92,2663.045,2636.3015,2646.2934000000005,53.407302142328966,36.42000000000007,32.741874742526434,WAIT,None,No rule matched
2025-01-14,2663.68,2678.27,2659.99,2677.36,2637.7835,2645.1103000000003,56.05534815268133,18.2800000000002,31.708883689488847,WAIT,None,No rule matched
2025-01-15,2677.395,2697.3,2669.48,2696.525,2639.9735,2644.3071,59.383565072960614,27.820000000000164,31.431106283096796,WAIT,None,No rule matched
2025-01-16,2698.81,2724.74,2690.14,2714.685,2643.3762500000003,2643.7209,62.297422768622084,34.59999999999991,31.657455834304162,WAIT,None,No rule matched
2025-01-17,2714.79,2717.425,2700.085,2700.865,2649.1525,2644.5571,58.83801743850162,17.340000000000146,30.634780417568162,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-20,2703.33,2713.87,2689.54,2706.425,2654.7594999999997,2644.5554,59.80507869513674,24.329999999999927,30.184438959170432,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-21,2707.56,2745.91,2703.07,2744.81,2660.8455000000004,2645.7482,65.78207288678988,42.83999999999969,31.08840760494395,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-22,2744.865,2763.41,2742.025,2756.305,2668.0135,2648.4835,67.34793810063174,21.384999999999764,30.39530706173365,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-23,2756.245,2758.805,2736.055,2754.885,2674.94875,2651.6157000000003,66.94041416058684,22.75,29.84921370018125,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-24,2754.605,2785.745,2753.775,2771.105,2681.8142500000004,2655.5791,69.2307193365227,31.9699999999998,30.000698435882573,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-27,2770.8,2772.6,2730.62,2740.93,2688.083,2659.0967,60.792905171547744,41.98000000000002,30.856362833319533,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-28,2740.295,2765.025,2734.895,2763.89,2695.97925,2663.1279000000004,64.35301356706142,30.13000000000011,30.804479773796714,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-29,2763.055,2766.185,2745.105,2759.62,2702.731,2666.0829,63.20358770581405,21.079999999999927,30.109874075668372,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-30,2759.605,2798.425,2758.315,2794.195,2709.54025,2669.3214999999996,68.16233800736619,40.11000000000013,30.82416878454921,WAIT,B0,Uptrend above MA20; wait for pullback
2025-01-31,2793.73,2817.17,2791.2,2801.28,2717.6912500000003,2672.3418,69.08181960031992,25.970000000000255,30.477442442795716,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-03,2801.65,2830.49,2772.47,2815.0,2726.6369999999997,2675.2484999999997,70.83818686745894,58.01999999999998,32.44476798259602,WAIT,B0,Uptrend above MA20; wait for pullback
2025-02-04,2814.715,2845.43,2807.39,2842.58,2736.3292500000002,2677.9811,74.0317069080976,38.039999999999964,32.84442741241059,WAIT,B0,Uptrend above MA20; wait for pullback
